num,date,time,lat,lon,wind,cat,rmw,press,oci,size,states,name
2,8/31/50,0300Z,30.2N,88.0W,75,1,20,979,1003,250,AL1,NA
2,8/31/50,0400Z,30.7N,87.9W,75,1,20,979,1003,250,AL1,NA
5,9/5/50,1700Z,29.1N,82.8W,105,3,15,960,1009,325,AFL3,NA
5,9/6/50,0400Z,28.5N,82.7W,90,2,0,-965,1008,300,AFL3,NA
11,10/18/50,0500Z,25.7N,80.2W,115,4,5,955,1005,200,CFL4,NA
2,8/31/52,0300Z,32.3N,80.6W,85,2,0,-980,1011,175,SC2,Able
3,8/14/53,0300Z,35.0N,76.1W,80,1,0,-975,1015,150,NC1,Barbara
3,8/14/53,0500Z,35.4N,76.1W,75,1,0,-978,1015,150,NC1,Barbara
3,8/14/53,0900Z,36.1N,75.9W,70,1,0,-982,1015,150,NC1,Barbara
9,9/26/53,1500Z,30.3N,86.2W,80,1,0,-975,1008,225,AFL1,Florence
12,10/9/53,1500Z,26.7N,82.2W,75,1,0,-980,1011,300,BFL1,Hazel
12,10/9/53,1600Z,26.7N,82.1W,75,1,0,-980,1011,300,BFL1,Hazel
6,8/31/54,0300Z,35.4N,75.1W,75,1,25,960,1007,225,NC1,Carol
6,8/31/54,1400Z,40.9N,72.2W,100,3,20,955,1010,325,NY3,Carol
6,8/31/54,1500Z,41.3N,72.0W,100,3,20,957,1010,325,CT3,NA
8,9/11/54,0300Z,34.9N,74.4W,65,1,15,943,1007,375,NC1,Edna
8,9/11/54,1830Z,41.4N,70.5W,95,2,25,950,1007,375,MA2,NA
8,9/11/54,1900Z,41.7N,70.3W,95,2,25,952,1007,375,MA2,NA
8,9/11/54,1930Z,41.9N,70.1W,90,2,25,954,1007,375,MA2,NA
14,10/15/54,1530Z,33.9N,78.6W,115,4,20,938,1008,475,SC4,NA
2,8/12/55,1500Z,34.7N,76.7W,85,2,30,962,1011,425,NC2,NA
8,9/19/55,1100Z,34.7N,76.7W,90,2,25,955,1013,375,NC2,Ione
7,9/24/56,1000Z,29.1N,89.4W,75,1,20,980,1010,300,LA1,Flossy
7,9/25/56,0000Z,30.4N,86.4W,80,1,20,974,1010,300,AFL1,Flossy
2,6/27/57,1330Z,29.8N,93.7W,110,3,15,946,1003,200,LA3,NA
8,9/27/58,1800Z,33.9N,77.6W,110,3,20,938,1011,275,NC3,Helene
